harvest;code_city;city;nr;group;code_variable;variable;standard;area;herd;slaughter;load;production;gpv
19/20;4100202;Adrianópolis;Curitiba;C;1502;ABACATE;TON;6;;;;75;177675
19/20;4100509;Altônia;Umuarama;C;1502;ABACATE;TON;50;;;;1000;2369000
19/20;4100608;Alto Paraná;Paranavaí;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4100806;Alvorada do Sul;Londrina;C;1502;ABACATE;TON;3;;;;30;71070
19/20;4101002;Ampére;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;23;54487
19/20;4101051;Anahy;Cascavel;C;1502;ABACATE;TON;2;;;;50;118450
19/20;4101101;Andirá;Cornélio Procópio;C;1502;ABACATE;TON;6;;;;55,2;130768,8
19/20;4101408;Apucarana;Apucarana;C;1502;ABACATE;TON;186;;;;2232;5287608
19/20;4101507;Arapongas;Apucarana;C;1502;ABACATE;TON;142;;;;2201;5214169
19/20;4101655;Arapuã;Ivaiporã;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4101853;Ariranha do Ivaí;Ivaiporã;C;1502;ABACATE;TON;2;;;;10;23690
19/20;4101903;Assaí;Cornélio Procópio;C;1502;ABACATE;TON;105;;;;2100;4974900
19/20;4102000;Assis Chateaubriand;Toledo;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4102109;Astorga;Maringá;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4102307;Balsa Nova;Curitiba;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4102505;Barbosa Ferraz;Campo Mourão;C;1502;ABACATE;TON;2;;;;38;90022
19/20;4102604;Barracão;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;30;71070
19/20;4102703;Barra do Jacaré;Jacarezinho;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4102752;Bela Vista da Caroba;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4102802;Bela Vista do Paraíso;Londrina;C;1502;ABACATE;TON;2;;;;30;71070
19/20;4102901;Bituruna;União da Vitória;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4103024;Boa Esperança do Iguaçu;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;30;71070
19/20;4103040;Boa Ventura de São Roque;Pitanga;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4103057;Boa Vista da Aparecida;Cascavel;C;1502;ABACATE;TON;2;;;;39;92391
19/20;4103156;Bom Jesus do Sul;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;30;71070
19/20;4103206;Bom Sucesso;Apucarana;C;1502;ABACATE;TON;2;;;;24;56856
19/20;4103305;Borrazópolis;Ivaiporã;C;1502;ABACATE;TON;8;;;;150;355350
19/20;4103354;Braganey;Cascavel;C;1502;ABACATE;TON;2;;;;45;106605
19/20;4103453;Cafelândia;Cascavel;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4103479;Cafezal do Sul;Umuarama;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4103503;Califórnia;Apucarana;C;1502;ABACATE;TON;40;;;;1400;3316600
19/20;4103701;Cambé;Londrina;C;1502;ABACATE;TON;11;;;;220;521180
19/20;4103958;Campina do Simão;Guarapuava;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4104055;Campo Bonito;Cascavel;C;1502;ABACATE;TON;1;;;;19;45011
19/20;4104303;Campo Mourão;Campo Mourão;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4104402;Cândido de Abreu;Pitanga;C;1502;ABACATE;TON;0,2;;;;2;4738
19/20;4104428;Candói;Guarapuava;C;1502;ABACATE;TON;2;;;;48;113712
19/20;4104501;Capanema;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;26;61594
19/20;4104600;Capitão Leônidas Marques;Cascavel;C;1502;ABACATE;TON;4;;;;74;175306
19/20;4104709;Carlópolis;Jacarezinho;C;1502;ABACATE;TON;70;;;;1350;3198150
19/20;4104808;Cascavel;Cascavel;C;1502;ABACATE;TON;3;;;;50;118450
19/20;4104907;Castro;Ponta Grossa;C;1502;ABACATE;TON;1;;;;8,5;20136,5
19/20;4105003;Catanduvas;Cascavel;C;1502;ABACATE;TON;1,5;;;;27;63963
19/20;4105102;Centenário do Sul;Londrina;C;1502;ABACATE;TON;1;;;;8;18952
19/20;4105201;Cerro Azul;Curitiba;C;1502;ABACATE;TON;15;;;;165;390885
19/20;4105300;Céu Azul;Cascavel;C;1502;ABACATE;TON;1,5;;;;23;54487
19/20;4105409;Chopinzinho;Pato Branco;C;1502;ABACATE;TON;2;;;;10;23690
19/20;4105508;Cianorte;Cianorte;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4105607;Cidade Gaúcha;Cianorte;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4105904;Colorado;Maringá;C;1502;ABACATE;TON;0,5;;;;5;11845
19/20;4106100;Conselheiro Mairinck;Jacarezinho;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4106308;Corbélia;Cascavel;C;1502;ABACATE;TON;2;;;;28;66332
19/20;4106407;Cornélio Procópio;Cornélio Procópio;C;1502;ABACATE;TON;10;;;;250;592250
19/20;4106456;Coronel Domingos Soares;Pato Branco;C;1502;ABACATE;TON;0,1;;;;3;7107
19/20;4106506;Coronel Vivida;Pato Branco;C;1502;ABACATE;TON;2;;;;30;71070
19/20;4106555;Corumbataí do Sul;Campo Mourão;C;1502;ABACATE;TON;13;;;;195;461955
19/20;4106571;Cruzeiro do Iguaçu;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;29;68701
19/20;4106605;Cruzeiro do Oeste;Umuarama;C;1502;ABACATE;TON;11;;;;275;651475
19/20;4106803;Cruz Machado;União da Vitória;C;1502;ABACATE;TON;1;;;;8;18952
19/20;4106852;Cruzmaltina;Ivaiporã;C;1502;ABACATE;TON;42;;;;800;1895200
19/20;4107009;Curiúva;Jacarezinho;C;1502;ABACATE;TON;4;;;;40;94760
19/20;4107108;Diamante do Norte;Paranavaí;C;1502;ABACATE;TON;12;;;;144;341136
19/20;4107124;Diamante do Sul;Laranjeiras do Sul;C;1502;ABACATE;TON;0,1;;;;0,5;1184,5
19/20;4107157;Diamante D'Oeste;Cascavel;C;1502;ABACATE;TON;2;;;;37;87653
19/20;4107207;Dois Vizinhos;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4107306;Doutor Camargo;Maringá;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4107405;Enéas Marques;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;28;66332
19/20;4107504;Engenheiro Beltrão;Campo Mourão;C;1502;ABACATE;TON;3;;;;54;127926
19/20;4107520;Esperança Nova;Umuarama;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4107546;Espigão Alto do Iguaçu;Laranjeiras do Sul;C;1502;ABACATE;TON;0,1;;;;4;9476
19/20;4107603;Faxinal;Ivaiporã;C;1502;ABACATE;TON;20;;;;400;947600
19/20;4107702;Fênix;Campo Mourão;C;1502;ABACATE;TON;1,8;;;;40;94760
19/20;4107751;Figueira;Jacarezinho;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4107850;Flor da Serra do Sul;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;29;68701
19/20;4108007;Florestópolis;Londrina;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4108205;Formosa do Oeste;Toledo;C;1502;ABACATE;TON;21;;;;630;1492470
19/20;4108304;Foz do Iguaçu;Cascavel;C;1502;ABACATE;TON;3,5;;;;68;161092
19/20;4108403;Francisco Beltrão;Francisco Beltrão;C;1502;ABACATE;TON;3;;;;60;142140
19/20;4108551;Godoy Moreira;Ivaiporã;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4108700;Grandes Rios;Ivaiporã;C;1502;ABACATE;TON;3;;;;60;142140
19/20;4109005;Guapirama;Jacarezinho;C;1502;ABACATE;TON;15;;;;450;1066050
19/20;4109104;Guaporema;Cianorte;C;1502;ABACATE;TON;0,2;;;;1;2369
19/20;4109203;Guaraci;Londrina;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4109302;Guaraniaçu;Laranjeiras do Sul;C;1502;ABACATE;TON;0,5;;;;8;18952
19/20;4109658;Honório Serpa;Pato Branco;C;1502;ABACATE;TON;0,2;;;;3,5;8291,5
19/20;4109708;Ibaiti;Jacarezinho;C;1502;ABACATE;TON;10;;;;145;343505
19/20;4109757;Ibema;Cascavel;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4109807;Ibiporã;Londrina;C;1502;ABACATE;TON;3;;;;42;99498
19/20;4110052;Iguatu;Cascavel;C;1502;ABACATE;TON;2;;;;50;118450
19/20;4110078;Imbaú;Ponta Grossa;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4110102;Imbituva;Irati;C;1502;ABACATE;TON;1;;;;3;7107
19/20;4110706;Irati;Irati;C;1502;ABACATE;TON;0,1;;;;2;4738
19/20;4110805;Iretama;Campo Mourão;C;1502;ABACATE;TON;3;;;;54;127926
19/20;4110953;Itaipulândia;Cascavel;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4111209;Itapejara d'Oeste;Pato Branco;C;1502;ABACATE;TON;0,2;;;;5;11845
19/20;4111506;Ivaiporã;Ivaiporã;C;1502;ABACATE;TON;5;;;;75;177675
19/20;4111555;Ivaté;Umuarama;C;1502;ABACATE;TON;0,2;;;;4;9476
19/20;4111704;Jaboti;Jacarezinho;C;1502;ABACATE;TON;5;;;;100;236900
19/20;4111803;Jacarezinho;Jacarezinho;C;1502;ABACATE;TON;25;;;;1100;2605900
19/20;4111902;Jaguapitã;Londrina;C;1502;ABACATE;TON;3;;;;20;47380
19/20;4112009;Jaguariaíva;Ponta Grossa;C;1502;ABACATE;TON;0,6;;;;13;30797
19/20;4112108;Jandaia do Sul;Apucarana;C;1502;ABACATE;TON;2;;;;24;56856
19/20;4112306;Japira;Jacarezinho;C;1502;ABACATE;TON;6;;;;160;379040
19/20;4112405;Japurá;Cianorte;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4112504;Jardim Alegre;Ivaiporã;C;1502;ABACATE;TON;20;;;;400;947600
19/20;4112751;Jesuítas;Toledo;C;1502;ABACATE;TON;2,5;;;;65;153985
19/20;4112801;Joaquim Távora;Jacarezinho;C;1502;ABACATE;TON;4;;;;90;213210
19/20;4112900;Jundiaí do Sul;Jacarezinho;C;1502;ABACATE;TON;3,5;;;;52;123188
19/20;4113254;Laranjal;Pitanga;C;1502;ABACATE;TON;1;;;;18;42642
19/20;4113304;Laranjeiras do Sul;Laranjeiras do Sul;C;1502;ABACATE;TON;0,5;;;;5;11845
19/20;4113429;Lidianópolis;Ivaiporã;C;1502;ABACATE;TON;41;;;;615;1456935
19/20;4113452;Lindoeste;Cascavel;C;1502;ABACATE;TON;2;;;;37;87653
19/20;4113502;Loanda;Paranavaí;C;1502;ABACATE;TON;1;;;;3;7107
19/20;4113700;Londrina;Londrina;C;1502;ABACATE;TON;20;;;;400;947600
19/20;4113734;Luiziana;Campo Mourão;C;1502;ABACATE;TON;2;;;;38;90022
19/20;4113759;Lunardelli;Ivaiporã;C;1502;ABACATE;TON;4;;;;60;142140
19/20;4113809;Lupionópolis;Londrina;C;1502;ABACATE;TON;0,3;;;;5;11845
19/20;4114104;Mandaguaçu;Maringá;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4114203;Mandaguari;Maringá;C;1502;ABACATE;TON;0,5;;;;8;18952
19/20;4114351;Manfrinópolis;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4114500;Manoel Ribas;Pitanga;C;1502;ABACATE;TON;4;;;;70;165830
19/20;4114609;Marechal Cândido Rondon;Toledo;C;1502;ABACATE;TON;4;;;;112;265328
19/20;4114708;Maria Helena;Umuarama;C;1502;ABACATE;TON;3;;;;50;118450
19/20;4114807;Marialva;Maringá;C;1502;ABACATE;TON;5;;;;100;236900
19/20;4114906;Marilândia do Sul;Apucarana;C;1502;ABACATE;TON;6;;;;96;227424
19/20;4115101;Mariluz;Umuarama;C;1502;ABACATE;TON;2;;;;60;142140
19/20;4115200;Maringá;Maringá;C;1502;ABACATE;TON;2;;;;20;47380
19/20;4115408;Marmeleiro;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;28;66332
19/20;4115457;Marquinho;Laranjeiras do Sul;C;1502;ABACATE;TON;0,1;;;;0,5;1184,5
19/20;4115507;Marumbi;Apucarana;C;1502;ABACATE;TON;10;;;;250;592250
19/20;4115606;Matelândia;Cascavel;C;1502;ABACATE;TON;1;;;;22;52118
19/20;4115739;Mato Rico;Pitanga;C;1502;ABACATE;TON;2,5;;;;37;87653
19/20;4115754;Mauá da Serra;Apucarana;C;1502;ABACATE;TON;3;;;;45;106605
19/20;4115804;Medianeira;Cascavel;C;1502;ABACATE;TON;2;;;;46;108974
19/20;4115853;Mercedes;Toledo;C;1502;ABACATE;TON;0,3;;;;3;7107
19/20;4115903;Mirador;Paranavaí;C;1502;ABACATE;TON;0,5;;;;2;4738
19/20;4116000;Miraselva;Londrina;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4116059;Missal;Cascavel;C;1502;ABACATE;TON;2;;;;55;130295
19/20;4116307;Munhoz de Melo;Maringá;C;1502;ABACATE;TON;0,5;;;;5;11845
19/20;4116703;Nova Aurora;Cascavel;C;1502;ABACATE;TON;1;;;;21;49749
19/20;4116901;Nova Esperança;Maringá;C;1502;ABACATE;TON;10;;;;110;260590
19/20;4116950;Nova Esperança do Sudoeste;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;29;68701
19/20;4117057;Nova Laranjeiras;Laranjeiras do Sul;C;1502;ABACATE;TON;0,5;;;;3;7107
19/20;4117107;Nova Londrina;Paranavaí;C;1502;ABACATE;TON;0,1;;;;2;4738
19/20;4117255;Nova Prata do Iguaçu;Dois Vizinhos;C;1502;ABACATE;TON;2;;;;49;116081
19/20;4117271;Nova Tebas;Pitanga;C;1502;ABACATE;TON;3;;;;30;71070
19/20;4117297;Novo Itacolomi;Apucarana;C;1502;ABACATE;TON;0,4;;;;1;2369
19/20;4117305;Ortigueira;Ponta Grossa;C;1502;ABACATE;TON;1,5;;;;11,8;27954,2
19/20;4117404;Ourizona;Maringá;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4117503;Paiçandu;Maringá;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4117800;Palmital;Pitanga;C;1502;ABACATE;TON;2;;;;30;71070
19/20;4117909;Palotina;Toledo;C;1502;ABACATE;TON;2;;;;46;108974
19/20;4118204;Paranaguá;Paranaguá;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4118402;Paranavaí;Paranavaí;C;1502;ABACATE;TON;1;;;;26;61594
19/20;4118501;Pato Branco;Pato Branco;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4118808;Peabiru;Campo Mourão;C;1502;ABACATE;TON;1;;;;23;54487
19/20;4118857;Perobal;Umuarama;C;1502;ABACATE;TON;7;;;;154;364826
19/20;4118907;Pérola;Umuarama;C;1502;ABACATE;TON;5,5;;;;300;710700
19/20;4119004;Pérola d'Oeste;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4119202;Pinhalão;Jacarezinho;C;1502;ABACATE;TON;5;;;;80;189520
19/20;4119251;Pinhal de São Bento;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4119608;Pitanga;Pitanga;C;1502;ABACATE;TON;1,5;;;;30;71070
19/20;4119657;Pitangueiras;Londrina;C;1502;ABACATE;TON;3;;;;45;106605
19/20;4119707;Planaltina do Paraná;Paranavaí;C;1502;ABACATE;TON;1;;;;5;11845
19/20;4119806;Planalto;Francisco Beltrão;C;1502;ABACATE;TON;2;;;;56;132664
19/20;4120002;Porecatu;Londrina;C;1502;ABACATE;TON;3;;;;60;142140
19/20;4120150;Porto Barreiro;Laranjeiras do Sul;C;1502;ABACATE;TON;0,2;;;;0,6;1421,4
19/20;4120309;Porto Vitória;União da Vitória;C;1502;ABACATE;TON;1;;;;3;7107
19/20;4120358;Pranchita;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;24;56856
19/20;4120606;Prudentópolis;Guarapuava;C;1502;ABACATE;TON;3;;;;65;153985
19/20;4120705;Quatiguá;Jacarezinho;C;1502;ABACATE;TON;2;;;;55;130295
19/20;4120903;Quedas do Iguaçu;Laranjeiras do Sul;C;1502;ABACATE;TON;0,5;;;;8;18952
19/20;4121109;Quinta do Sol;Campo Mourão;C;1502;ABACATE;TON;0,1;;;;2;4738
19/20;4121257;Ramilândia;Cascavel;C;1502;ABACATE;TON;3;;;;63;149247
19/20;4121406;Realeza;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;26;61594
19/20;4121604;Renascença;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;28;66332
19/20;4121703;Reserva;Ponta Grossa;C;1502;ABACATE;TON;0,5;;;;5;11845
19/20;4121752;Reserva do Iguaçu;Guarapuava;C;1502;ABACATE;TON;1;;;;21;49749
19/20;4121802;Ribeirão Claro;Jacarezinho;C;1502;ABACATE;TON;20;;;;230;544870
19/20;4121901;Ribeirão do Pinhal;Cornélio Procópio;C;1502;ABACATE;TON;17;;;;34;80546
19/20;4122107;Rio Bom;Apucarana;C;1502;ABACATE;TON;5;;;;50;118450
19/20;4122156;Rio Bonito do Iguaçu;Laranjeiras do Sul;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4122172;Rio Branco do Ivaí;Ivaiporã;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4122206;Rio Branco do Sul;Curitiba;C;1502;ABACATE;TON;0,5;;;;5;11845
19/20;4122404;Rolândia;Londrina;C;1502;ABACATE;TON;15;;;;450;1066050
19/20;4122503;Roncador;Campo Mourão;C;1502;ABACATE;TON;3;;;;72;170568
19/20;4122602;Rondon;Cianorte;C;1502;ABACATE;TON;3;;;;70;165830
19/20;4122651;Rosário do Ivaí;Ivaiporã;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4122701;Sabáudia;Apucarana;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4122800;Salgado Filho;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4122909;Salto do Itararé;Jacarezinho;C;1502;ABACATE;TON;2;;;;40;94760
19/20;4123006;Salto do Lontra;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;28;66332
19/20;4123204;Santa Cecília do Pavão;Cornélio Procópio;C;1502;ABACATE;TON;1,2;;;;11,9;28191,1
19/20;4123402;Santa Fé;Maringá;C;1502;ABACATE;TON;4;;;;80;189520
19/20;4123808;Santa Izabel do Oeste;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;24;56856
19/20;4123824;Santa Lúcia;Cascavel;C;1502;ABACATE;TON;2;;;;38;90022
19/20;4123857;Santa Maria do Oeste;Pitanga;C;1502;ABACATE;TON;0,5;;;;8;18952
19/20;4123907;Santa Mariana;Cornélio Procópio;C;1502;ABACATE;TON;9;;;;153;362457
19/20;4124004;Santana do Itararé;Jacarezinho;C;1502;ABACATE;TON;2,5;;;;40;94760
19/20;4124020;Santa Tereza do Oeste;Cascavel;C;1502;ABACATE;TON;3;;;;58;137402
19/20;4124053;Santa Terezinha de Itaipu;Cascavel;C;1502;ABACATE;TON;3;;;;55;130295
19/20;4124103;Santo Antônio da Platina;Jacarezinho;C;1502;ABACATE;TON;4;;;;110;260590
19/20;4124301;Santo Antônio do Paraíso;Cornélio Procópio;C;1502;ABACATE;TON;3;;;;120;284280
19/20;4124400;Santo Antônio do Sudoeste;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;24;56856
19/20;4124707;São Jerônimo da Serra;Cornélio Procópio;C;1502;ABACATE;TON;25;;;;400;947600
19/20;4125001;São João do Ivaí;Ivaiporã;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4125209;São Jorge d'Oeste;Dois Vizinhos;C;1502;ABACATE;TON;1;;;;25;59225
19/20;4125308;São Jorge do Ivaí;Maringá;C;1502;ABACATE;TON;1;;;;20;47380
19/20;4125357;São Jorge do Patrocínio;Umuarama;C;1502;ABACATE;TON;5;;;;275;651475
19/20;4125407;São José da Boa Vista;Jacarezinho;C;1502;ABACATE;TON;2;;;;35;82915
19/20;4125605;São Mateus do Sul;União da Vitória;C;1502;ABACATE;TON;1;;;;10;23690
19/20;4125704;São Miguel do Iguaçu;Cascavel;C;1502;ABACATE;TON;2;;;;37;87653
19/20;4125753;São Pedro do Iguaçu;Toledo;C;1502;ABACATE;TON;1;;;;32;75808
19/20;4125803;São Pedro do Ivaí;Ivaiporã;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4126009;São Sebastião da Amoreira;Cornélio Procópio;C;1502;ABACATE;TON;44;;;;968;2293192
19/20;4126207;Sapopema;Cornélio Procópio;C;1502;ABACATE;TON;12;;;;240;568560
19/20;4126272;Saudade do Iguaçu;Pato Branco;C;1502;ABACATE;TON;0,3;;;;5;11845
19/20;4126355;Serranópolis do Iguaçu;Cascavel;C;1502;ABACATE;TON;1;;;;19;45011
19/20;4126504;Sertanópolis;Londrina;C;1502;ABACATE;TON;10;;;;200;473800
19/20;4126603;Siqueira Campos;Jacarezinho;C;1502;ABACATE;TON;10;;;;70;165830
19/20;4126678;Tamarana;Londrina;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4126702;Tamboara;Paranavaí;C;1502;ABACATE;TON;0,5;;;;1;2369
19/20;4127403;Terra Roxa;Toledo;C;1502;ABACATE;TON;2;;;;50;118450
19/20;4127809;Tomazina;Jacarezinho;C;1502;ABACATE;TON;12;;;;160;379040
19/20;4127858;Três Barras do Paraná;Cascavel;C;1502;ABACATE;TON;1;;;;19;45011
19/20;4127882;Tunas do Paraná;Curitiba;C;1502;ABACATE;TON;1;;;;15;35535
19/20;4127908;Tuneiras do Oeste;Cianorte;C;1502;ABACATE;TON;0,5;;;;10;23690
19/20;4127965;Turvo;Guarapuava;C;1502;ABACATE;TON;1;;;;21;49749
19/20;4128005;Ubiratã;Campo Mourão;C;1502;ABACATE;TON;5;;;;90;213210
19/20;4128104;Umuarama;Umuarama;C;1502;ABACATE;TON;7;;;;175;414575
19/20;4128401;Uraí;Cornélio Procópio;C;1502;ABACATE;TON;12;;;;300;710700
19/20;4128500;Wenceslau Braz;Jacarezinho;C;1502;ABACATE;TON;5;;;;100;236900
19/20;4128559;Vera Cruz do Oeste;Cascavel;C;1502;ABACATE;TON;3;;;;49;116081
19/20;4128609;Verê;Francisco Beltrão;C;1502;ABACATE;TON;1;;;;29;68701
19/20;4128633;Doutor Ulysses;Curitiba;C;1502;ABACATE;TON;0,5;;;;6;14214
19/20;4128658;Virmond;Laranjeiras do Sul;C;1502;ABACATE;TON;0,1;;;;1;2369
19/20;4100202;Adrianópolis;Curitiba;C;1501;ABACAXI;TON;2;;;;16;24160
19/20;4100608;Alto Paraná;Paranavaí;C;1501;ABACAXI;TON;51;;;;1836;2772360
19/20;4100905;Amaporã;Paranavaí;C;1501;ABACAXI;TON;0,2;;;;0,2;302
19/20;4101002;Ampére;Francisco Beltrão;C;1501;ABACAXI;TON;1;;;;12;18120
19/20;4101051;Anahy;Cascavel;C;1501;ABACAXI;TON;2;;;;20;30200
19/20;4101101;Andirá;Cornélio Procópio;C;1501;ABACAXI;TON;1,5;;;;18;27180
19/20;4101853;Ariranha do Ivaí;Ivaiporã;C;1501;ABACAXI;TON;1;;;;25;37750
19/20;4102000;Assis Chateaubriand;Toledo;C;1501;ABACAXI;TON;2;;;;32;48320
19/20;4102208;Atalaia;Maringá;C;1501;ABACAXI;TON;25;;;;750;1132500
19/20;4102505;Barbosa Ferraz;Campo Mourão;C;1501;ABACAXI;TON;0,3;;;;5;7550
19/20;4102703;Barra do Jacaré;Jacarezinho;C;1501;ABACAXI;TON;3,5;;;;95;143450
19/20;4103024;Boa Esperança do Iguaçu;Dois Vizinhos;C;1501;ABACAXI;TON;1;;;;14;21140
19/20;4103305;Borrazópolis;Ivaiporã;C;1501;ABACAXI;TON;0,5;;;;11;16610
19/20;4103602;Cambará;Jacarezinho;C;1501;ABACAXI;TON;12;;;;336;507360
19/20;4104402;Cândido de Abreu;Pitanga;C;1501;ABACAXI;TON;4;;;;90;135900
19/20;4104501;Capanema;Francisco Beltrão;C;1501;ABACAXI;TON;4;;;;57;86070
19/20;4104709;Carlópolis;Jacarezinho;C;1501;ABACAXI;TON;5;;;;90;135900
19/20;4105102;Centenário do Sul;Londrina;C;1501;ABACAXI;TON;7;;;;180;271800
19/20;4105201;Cerro Azul;Curitiba;C;1501;ABACAXI;TON;4;;;;32;48320
19/20;4105607;Cidade Gaúcha;Cianorte;C;1501;ABACAXI;TON;0,3;;;;10;15100
19/20;4106001;Congonhinhas;Cornélio Procópio;C;1501;ABACAXI;TON;1;;;;10;15100
19/20;4106100;Conselheiro Mairinck;Jacarezinho;C;1501;ABACAXI;TON;4;;;;125;188750
19/20;4106555;Corumbataí do Sul;Campo Mourão;C;1501;ABACAXI;TON;1;;;;22;33220
19/20;4106571;Cruzeiro do Iguaçu;Dois Vizinhos;C;1501;ABACAXI;TON;1;;;;13;19630
19/20;4106605;Cruzeiro do Oeste;Umuarama;C;1501;ABACAXI;TON;20;;;;600;906000
19/20;4107009;Curiúva;Jacarezinho;C;1501;ABACAXI;TON;1;;;;10;15100
19/20;4107108;Diamante do Norte;Paranavaí;C;1501;ABACAXI;TON;1;;;;38;57380
19/20;4107124;Diamante do Sul;Laranjeiras do Sul;C;1501;ABACAXI;TON;0,1;;;;0,1;151
19/20;4107256;Douradina;Umuarama;C;1501;ABACAXI;TON;1;;;;20;30200
19/20;4107504;Engenheiro Beltrão;Campo Mourão;C;1501;ABACAXI;TON;0,5;;;;5,5;8305
19/20;4107520;Esperança Nova;Umuarama;C;1501;ABACAXI;TON;3;;;;120;181200
19/20;4107538;Entre Rios do Oeste;Toledo;C;1501;ABACAXI;TON;1;;;;13;19630
19/20;4107546;Espigão Alto do Iguaçu;Laranjeiras do Sul;C;1501;ABACAXI;TON;0,1;;;;0,2;302
19/20;4107702;Fênix;Campo Mourão;C;1501;ABACAXI;TON;1;;;;17;25670
19/20;4107751;Figueira;Jacarezinho;C;1501;ABACAXI;TON;0,25;;;;7,5;11325
19/20;4108205;Formosa do Oeste;Toledo;C;1501;ABACAXI;TON;1;;;;14;21140
19/20;4108304;Foz do Iguaçu;Cascavel;C;1501;ABACAXI;TON;0,5;;;;8;12080
19/20;4108320;Francisco Alves;Umuarama;C;1501;ABACAXI;TON;5;;;;175;264250
19/20;4108601;Goioerê;Campo Mourão;C;1501;ABACAXI;TON;0,5;;;;9;13590
19/20;4108809;Guaíra;Toledo;C;1501;ABACAXI;TON;6;;;;78;117780
19/20;4108908;Guairaçá;Paranavaí;C;1501;ABACAXI;TON;2;;;;60;90600
19/20;4109005;Guapirama;Jacarezinho;C;1501;ABACAXI;TON;7;;;;260;392600
19/20;4109302;Guaraniaçu;Laranjeiras do Sul;C;1501;ABACAXI;TON;0,1;;;;0,5;755
19/20;4109708;Ibaiti;Jacarezinho;C;1501;ABACAXI;TON;5;;;;70;105700
19/20;4110052;Iguatu;Cascavel;C;1501;ABACAXI;TON;0,2;;;;2,4;3624
19/20;4110409;Indianópolis;Cianorte;C;1501;ABACAXI;TON;1;;;;35;52850
19/20;4110508;Ipiranga;Ponta Grossa;C;1501;ABACAXI;TON;1;;;;0,5;755
19/20;4110607;Iporã;Umuarama;C;1501;ABACAXI;TON;1;;;;28;42280
19/20;4110805;Iretama;Campo Mourão;C;1501;ABACAXI;TON;0,5;;;;4;6040
19/20;4111704;Jaboti;Jacarezinho;C;1501;ABACAXI;TON;1,2;;;;11;16610
19/20;4111803;Jacarezinho;Jacarezinho;C;1501;ABACAXI;TON;8;;;;130;196300
